#SampleID,mean,std
g__Anaerobacillus,8.7647795e-06,0.0010642807
g__Anaerobacterium,1.0977363e-05,0.0002025647
g__Anaerobaculum,2.575495e-09,8.43266e-07
g__Anaerobiospirillum,7.080232e-05,0.002101514
g__Anaerobium,1.0653665e-06,0.00015676446
g__Anaerobranca,2.602632e-07,2.5256762e-05
g__Anaerocella,0.00013309317,0.0045728222
g__Anaerococcus,0.002844989,0.019678494
g__Anaerocolumna,7.247355e-05,0.0022522388
g__Anaerofilum,6.862638e-05,0.0013898968
g__Anaerofustis,8.3430634e-05,0.001058515
g__Anaeroglobus,4.9674134e-05,0.0015554505
g__Anaerolinea,0.00075922144,0.009101606
g__Anaeromassilibacillus,1.9652473e-06,0.00023314513
g__Anaeromicrobium,7.5885328e-06,0.001128647
g__Anaeromusa,2.3311286e-07,6.0498194e-05
g__Anaeromyxobacter,0.0022703726,0.023745421
g__Anaerophaga,1.7946526e-05,0.0008195129
g__Anaeroplasma,0.0013365507,0.013591956
g__Anaerorhabdus,2.0097688e-07,1.276614e-05
g__Anaerosalibacter,1.0206505e-05,0.00071778224
g__Anaerosinus,2.6952914e-05,0.00087690493
g__Anaerosolibacter,2.0221842e-07,4.2317242e-05
g__Anaerosphaera,3.3390828e-07,7.157873e-05
g__Anaerospora,7.034252e-06,0.00028773525
g__Anaerosporobacter,0.00020910117,0.0043545417
g__Anaerosporomusa,1.1314458e-05,0.00052639504
g__Anaerostipes,0.0041493005,0.016953157
g__Anaerotaenia,7.582022e-08,4.6242567e-06
g__Anaerotruncus,0.00053025794,0.0055499766
g__Anaerovibrio,0.00076678063,0.007845932
g__Anaerovirgula,2.497686e-09,9.931033e-07
g__Anaerovorax,0.00076489843,0.00575348
g__Anagnostidinema,3.1591898e-09,9.721056e-07
g__Anamixilla,6.631837e-10,3.4029918e-07
g__Ananas,8.1922883e-07,9.5912554e-05
g__Anaperus,2.3699774e-06,0.00041097694
g__Anaphothrips,3.2916255e-08,1.3935307e-05
g__Anaplasma,1.6111184e-06,0.00026333443
g__Anaplecta,5.8045546e-10,2.9784889e-07
